Enter an integer k for which our Kempner sets are k-free: 10
Enter a positive integer modulus b: 41
Enter estimation parameters, or * for pre-computed parameters ([0.1132, 1.1206, 1.4728]): *
Enter a threshold (e.g. 4.2) to determine printed output: 12.5
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[41, 12.9478, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 31, 33, 34, 38, 39]]
[41, 12.9137, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 29, 32, 35, 36, 37, 38]]
[41, 12.8568, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 25, 26, 29, 32, 34, 35, 36, 37, 38]]
[41, 12.6556, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 21, 25, 26, 27, 29, 30, 31, 32, 34, 35, 36, 37, 38]]
[41, 12.8427, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 25, 26, 27, 29, 31, 33, 34, 38, 39]]
[41, 12.7272, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 25, 26, 28, 30, 31, 33, 34, 35, 37, 38]]
[41, 12.8486, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 30, 32, 33, 37, 38, 39]]
[41, 12.7801, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 21, 23, 24, 26, 27, 29, 30, 32, 33, 37, 38, 39]]
[41, 12.8022, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30, 31, 33, 35, 39]]
[41, 12.5929, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 16, 17, 18, 20, 22, 23, 25, 26, 27, 28, 30, 32, 34, 35, 36, 38, 39]]
[41, 12.5875, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 17, 18, 21, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 36, 39]]
[41, 12.5289, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 17, 18, 20, 21, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 38, 39]]
[41, 12.5349, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 17, 19, 21, 22, 23, 24, 26, 27, 29, 31, 32, 33, 36, 37, 38, 39]]
[41, 12.6231, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 28, 32, 34, 36, 37, 38, 39]]
[41, 12.5592, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 28, 29, 31, 32, 34, 35, 36, 38, 39]]
[41, 12.637, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 31, 32, 34, 35, 38, 39]]
[41, 12.6972, [0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 26, 27, 29, 31, 35, 37, 38, 39]]
[41, 12.518, [0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 28, 31, 32, 34, 35, 36, 37, 38, 39]]
[41, 12.5972, [0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 31, 33, 34, 36, 38, 39]]
[41, 12.6005, [0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 29, 31, 35, 37, 38, 39]]
[41, 12.9492, [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 31, 32, 33, 35]]
[41, 12.9284, [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 23, 25, 26, 27, 28, 30, 31, 32, 33, 35]]
[41, 12.5387, [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 22, 24, 25, 26, 27, 29, 30, 31, 32, 34, 36, 37, 38, 39]]
[41, 12.5242, [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 22, 24, 25, 26, 27, 29, 31, 32, 33, 34, 36, 37, 38, 39]]
[41, 12.7323, [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 25, 26, 27, 28, 29, 31, 36, 37, 38, 39]]
