Enter an integer k for which our Kempner sets are k-free: 10
Enter a positive integer modulus b: 57
Enter estimation parameters, or * for pre-computed parameters ([0.1002, 1.106, 1.4384]): *
Enter a threshold (e.g. 4.2) to determine printed output: 10.65
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: 38
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[57, 10.6692, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 22, 23, 28, 30, 31, 35, 36, 37, 38, 39, 40, 43, 44, 45, 46, 47, 48, 51, 52, 53, 54]]
[57, 10.7567, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 23, 25, 27, 28, 30, 31, 32, 35, 36, 37, 38, 39, 40, 41, 43, 45, 47, 48, 52, 53, 54]]
[57, 10.8966, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 22, 23, 24, 27, 28, 29, 32, 33, 35, 36, 37, 39, 40, 44, 45, 47, 49, 50, 52, 53]]
[57, 10.9124, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 31, 32, 33, 35, 37, 41, 47, 48, 49, 52, 53, 54, 55]]
[57, 10.8039, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 32, 33, 35, 36, 37, 39, 47, 49, 50, 52, 53, 54, 55]]
[57, 10.8353, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 26, 28, 29, 30, 31, 33, 34, 36, 37, 39, 44, 46, 47, 50, 51, 53, 54]]
[57, 10.7913, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 31, 33, 35, 36, 37, 41, 45, 47, 48, 49, 50, 51, 52, 53]]
[57, 10.7589, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 36, 37, 39, 47, 49, 50, 51, 53, 54]]
[57, 10.6819, [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 27, 28, 29, 31, 32, 33, 34, 36, 37, 38, 45, 47, 49, 50, 51, 52, 54]]
[57, 10.7818, [0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 34, 35, 37, 42, 43, 47, 48, 50, 51, 52, 54, 55]]
[57, 10.7415, [0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 35, 37, 42, 43, 47, 48, 50, 51, 52, 53, 54, 55]]
[57, 10.6917, [0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 27, 28, 29, 30, 32, 34, 35, 37, 39, 43, 44, 45, 47, 48, 50, 52, 54, 55]]
[57, 10.8015, [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 26, 27, 30, 32, 35, 36, 37, 43, 44, 46, 47, 48, 50, 52, 53, 54, 55]]
[57, 10.9011, [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 32, 33, 34, 36, 37, 44, 46, 47, 49, 50, 53, 54, 55]]
[57, 10.7869, [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 41, 46, 49, 50, 51, 53, 54, 55]]
[57, 10.6741, [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 18, 20, 21, 23, 25, 26, 27, 29, 30, 31, 33, 34, 35, 36, 37, 38, 41, 43, 46, 47, 51, 53, 54, 55]]
[57, 10.7316, [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 21, 22, 23, 27, 29, 32, 33, 35, 36, 37, 38, 39, 43, 44, 45, 46, 47, 49, 50, 52, 53]]
[57, 10.7203, [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 24, 26, 27, 28, 30, 31, 32, 35, 37, 38, 40, 41, 42, 44, 46, 48, 51, 52, 53, 55]]
[57, 10.6553, [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 26, 27, 28, 30, 31, 32, 35, 37, 38, 40, 41, 42, 43, 44, 46, 48, 51, 52, 53, 55]]
[57, 10.7328, [0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 35, 37, 40, 41, 46, 48, 49, 51, 53, 55]]
