Enter an integer k for which our Kempner sets are k-free: 6
Enter a positive integer modulus b: 34
Enter estimation parameters, or * for pre-computed parameters ([0.1226, 1.1308, 1.499]): *
Enter a threshold (e.g. 4.2) to determine printed output: 5.3
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[34, 5.3725, [0, 1, 2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 16, 21, 24, 27]]
[34, 5.34744, [0, 1, 2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 16, 21, 27, 32]]
[34, 5.30253, [0, 1, 2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 21, 24, 27, 32]]
[34, 5.3399, [0, 1, 2, 3, 5, 6, 8, 9, 11, 13, 14, 15, 16, 21, 24, 27]]
[34, 5.3313, [0, 1, 2, 3, 5, 6, 8, 10, 11, 12, 13, 15, 16, 21, 24, 31]]
[34, 5.31047, [0, 1, 2, 3, 5, 6, 8, 10, 11, 12, 13, 15, 16, 24, 26, 31]]
[34, 5.41854, [0, 1, 2, 3, 5, 7, 8, 9, 10, 12, 13, 14, 15, 16, 21, 23]]
[34, 5.31501, [0, 1, 2, 3, 5, 7, 8, 9, 10, 12, 13, 15, 16, 21, 28, 31]]
[34, 5.57943, [0, 1, 2, 3, 5, 7, 8, 9, 10, 12, 13, 16, 21, 23, 28, 31, 32]]
[34, 5.35054, [0, 1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 15, 16, 19, 24, 26, 31]]

Search completed in 0 hours, 0 minutes, and 0.129 seconds.  Enter a string to quit.
