Enter an integer k for which our Kempner sets are k-free: 6
Enter a positive integer modulus b: 38
Enter estimation parameters, or * for pre-computed parameters ([0.1164, 1.1256, 1.4798]): *
Enter a threshold (e.g. 4.2) to determine printed output: 5.45
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[38, 5.45312, [0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 28]]
[38, 5.58601, [0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 15, 16, 18, 23, 32, 33, 36]]
[38, 5.51073, [0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 15, 18, 23, 32, 33, 35, 36]]
[38, 5.54601, [0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 23, 28, 31, 35, 36]]
[38, 5.46458, [0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 23, 28, 31, 34, 35, 36]]
[38, 5.54688, [0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 16, 17, 18, 28, 31, 33, 34]]
[38, 5.47166, [0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 17, 18, 28, 31, 33, 34, 35]]
[38, 5.48702, [0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 15, 17, 18, 23, 28, 31, 32, 35]]
[38, 5.54647, [0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 15, 18, 28, 29, 35, 36]]
[38, 5.45791, [0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 15, 18, 28, 29, 33, 35, 36]]
[38, 5.47806, [0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 14, 15, 18, 23, 28, 29, 35, 36]]
[38, 5.45398, [0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 15, 16, 18, 23, 29, 32, 33, 36]]
[38, 5.63595, [0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 13, 14, 16, 17, 18, 23, 27, 30]]
[38, 5.50715, [0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 13, 14, 16, 23, 27, 30, 34, 36]]
[38, 5.50672, [0, 1, 2, 3, 5, 6, 7, 9, 10, 14, 15, 16, 17, 18, 23, 27, 30, 32]]
[38, 5.49131, [0, 1, 2, 3, 5, 6, 7, 10, 11, 13, 14, 16, 17, 18, 23, 27, 28, 34]]
[38, 5.47996, [0, 1, 2, 3, 5, 6, 7, 10, 11, 13, 14, 16, 17, 18, 23, 28, 31, 34]]
[38, 5.46451, [0, 1, 2, 3, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 23, 28, 31, 32]]
[38, 5.51986, [0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 16, 17, 18, 23, 32, 33, 34]]
[38, 5.47976, [0, 1, 2, 3, 5, 6, 8, 9, 10, 14, 15, 16, 17, 18, 23, 26, 30, 32]]
[38, 5.46717, [0, 1, 2, 3, 5, 6, 8, 9, 12, 13, 14, 16, 17, 18, 23, 26, 29, 34]]
[38, 5.46604, [0, 1, 2, 3, 5, 6, 9, 10, 11, 12, 13, 16, 17, 18, 23, 26, 27, 34]]
[38, 5.4554, [0, 1, 2, 3, 5, 6, 9, 10, 11, 12, 14, 16, 17, 18, 23, 26, 27, 34]]
[38, 5.51701, [0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 17, 18, 27, 32, 35]]
[38, 5.47242, [0, 1, 2, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 22, 25, 30]]

Search completed in 0 hours, 0 minutes, and 0.353 seconds.  Enter a string to quit.
