Enter an integer k for which our Kempner sets are k-free: 6
Enter a positive integer modulus b: 37
Enter estimation parameters, or * for pre-computed parameters ([0.1182, 1.1275, 1.487]): *
Enter a threshold (e.g. 4.2) to determine printed output: 6.8
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[37, 6.85909, [0, 1, 2, 3, 5, 6, 7, 8, 10, 12, 14, 17, 18, 19, 21, 23, 24, 26, 27, 29, 32]]
[37, 6.84513, [0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 15, 20, 21, 23, 24, 31, 32, 34, 35]]
[37, 6.86494, [0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 19, 20, 22, 24, 30, 31, 33, 34]]
[37, 6.85403, [0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 19, 20, 22, 26, 29, 31, 34, 35]]
[37, 6.90069, [0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 15, 16, 17, 18, 20, 26, 27, 30, 33, 34]]
[37, 6.82805, [0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 14, 15, 16, 18, 19, 26, 28, 29, 30, 32, 34]]
[37, 6.88448, [0, 1, 2, 3, 5, 6, 7, 10, 11, 12, 13, 15, 16, 17, 18, 21, 22, 25, 28, 29, 35]]
[37, 6.87368, [0, 1, 2, 3, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 19, 20, 22, 26, 28, 30, 31]]
[37, 6.90751, [0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 26, 29, 30, 32, 33]]
[37, 6.97583, [0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 19, 20, 22, 23, 24, 27, 34]]
[37, 6.86388, [0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 19, 22, 26, 29, 32, 34, 35]]
[37, 6.83301, [0, 1, 2, 3, 5, 7, 8, 9, 10, 12, 13, 14, 16, 17, 19, 20, 23, 25, 29, 33, 35]]
[37, 6.80459, [0, 1, 2, 4, 5, 6, 7, 9, 11, 12, 13, 14, 16, 17, 18, 19, 22, 23, 26, 31, 35]]

Search completed in 0 hours, 0 minutes, and 29.269 seconds.  Enter a string to quit.
