Enter an integer k for which our Kempner sets are k-free: 4
Enter a positive integer modulus b: 54
Enter estimation parameters, or * for pre-computed parameters ([0.1019, 1.1073, 1.4415]): *
Enter a threshold (e.g. 4.2) to determine printed output: 3.95
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[54, 3.97434, [0, 1, 2, 4, 5, 7, 9, 12, 14, 15, 20, 23, 24, 25, 33, 37, 40]]
[54, 3.95995, [0, 1, 2, 4, 5, 7, 9, 12, 14, 15, 20, 23, 24, 25, 37, 40, 45]]
[54, 3.96351, [0, 1, 2, 4, 5, 7, 9, 12, 14, 15, 20, 23, 24, 30, 33, 37, 40]]
[54, 3.97848, [0, 1, 2, 4, 5, 7, 9, 12, 14, 18, 20, 22, 23, 25, 30, 33, 37]]
[54, 3.95254, [0, 1, 2, 4, 5, 7, 9, 12, 14, 18, 20, 23, 24, 26, 33, 37, 43]]
[54, 4.00157, [0, 1, 2, 4, 5, 7, 9, 12, 15, 19, 22, 23, 24, 38, 43, 45, 47, 48]]
[54, 3.95787, [0, 1, 2, 4, 5, 7, 9, 14, 15, 16, 18, 22, 24, 25, 30, 33, 50]]
[54, 3.97093, [0, 1, 2, 4, 5, 7, 9, 14, 15, 17, 18, 22, 23, 24, 30, 33, 37]]
[54, 3.95337, [0, 1, 2, 4, 5, 7, 9, 14, 15, 17, 18, 22, 23, 24, 33, 37, 43]]
[54, 3.9509, [0, 1, 2, 4, 5, 7, 9, 15, 16, 17, 19, 20, 22, 24, 30, 33, 50]]
[54, 3.95108, [0, 1, 2, 4, 5, 7, 9, 15, 16, 18, 19, 20, 24, 25, 26, 33, 44]]
[54, 3.98525, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 16, 18, 20, 30, 35, 37, 46]]
[54, 3.97497, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 16, 18, 22, 30, 35, 37, 50]]
[54, 4.01148, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 16, 21, 22, 23, 25, 30, 47]]
[54, 3.99651, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 18, 20, 22, 23, 30, 35, 37]]
[54, 3.9524, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 20, 22, 23, 30, 35, 36, 37]]
[54, 3.98422, [0, 1, 2, 4, 5, 7, 11, 12, 13, 16, 18, 20, 21, 23, 30, 35, 46]]
[54, 3.95912, [0, 1, 2, 4, 5, 7, 11, 12, 13, 16, 18, 20, 23, 26, 35, 37, 46]]
[54, 3.95176, [0, 1, 2, 4, 5, 7, 11, 12, 13, 18, 20, 21, 23, 24, 26, 43, 46]]
[54, 3.96592, [0, 1, 2, 4, 5, 7, 11, 13, 14, 15, 18, 20, 22, 23, 30, 37, 48]]
[54, 3.95739, [0, 1, 2, 4, 5, 7, 11, 13, 14, 15, 20, 22, 23, 24, 30, 36, 37]]
[54, 3.95968, [0, 1, 2, 4, 5, 7, 11, 13, 14, 16, 17, 18, 24, 26, 33, 37, 42]]
[54, 3.95198, [0, 1, 2, 4, 5, 8, 10, 13, 14, 17, 19, 21, 22, 24, 30, 33, 36]]
[54, 3.98454, [0, 1, 2, 4, 5, 9, 10, 11, 14, 16, 17, 18, 21, 24, 30, 33, 35]]
[54, 3.96085, [0, 1, 2, 4, 5, 9, 10, 11, 14, 16, 17, 18, 21, 24, 33, 35, 50]]
[54, 4.01764, [0, 1, 2, 4, 5, 9, 11, 12, 15, 16, 17, 19, 24, 30, 33, 40, 41, 50]]

Search completed in 0 hours, 0 minutes, and 12.713 seconds.  Enter a string to quit.
