Enter an integer k for which our Kempner sets are k-free: 4
Enter a positive integer modulus b: 49
Enter estimation parameters, or * for pre-computed parameters ([0.1066, 1.1111, 1.4597]): *
Enter a threshold (e.g. 4.2) to determine printed output: 4.1
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[49, 4.13168, [0, 1, 2, 4, 5, 7, 8, 15, 16, 18, 19, 20, 23, 26, 28, 30, 39]]
[49, 4.11672, [0, 1, 2, 4, 5, 7, 8, 15, 16, 18, 20, 21, 23, 25, 29, 32, 42]]
[49, 4.121, [0, 1, 2, 4, 5, 7, 9, 12, 14, 15, 16, 22, 31, 33, 34, 37, 38]]
[49, 4.11446, [0, 1, 2, 4, 5, 7, 9, 14, 15, 16, 18, 22, 25, 29, 31, 32, 37]]
[49, 4.20712, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 16, 18, 20, 23, 26, 30, 32]]
[49, 4.1968, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 16, 18, 22, 23, 26, 29, 35]]
[49, 4.17025, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 16, 18, 23, 26, 30, 32, 35]]
[49, 4.1551, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 16, 18, 23, 26, 30, 35, 43]]
[49, 4.11521, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 16, 18, 24, 32, 38, 42, 45]]
[49, 4.11339, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 18, 20, 23, 27, 37, 41, 43]]
[49, 4.1622, [0, 1, 2, 4, 5, 7, 11, 13, 14, 16, 17, 18, 22, 24, 28, 30, 32]]
[49, 4.12853, [0, 1, 2, 4, 5, 7, 11, 13, 14, 16, 17, 18, 24, 28, 30, 32, 38]]
[49, 4.14249, [0, 1, 2, 4, 5, 7, 11, 13, 15, 16, 18, 20, 23, 24, 26, 30, 32]]
[49, 4.14366, [0, 1, 2, 4, 5, 9, 10, 11, 14, 16, 17, 18, 21, 24, 28, 32, 38]]
[49, 4.11938, [0, 1, 2, 4, 5, 9, 10, 11, 14, 16, 17, 18, 24, 28, 30, 32, 38]]
[49, 4.11248, [0, 1, 2, 4, 5, 9, 11, 12, 14, 15, 17, 21, 22, 24, 26, 29, 45]]

Search completed in 0 hours, 0 minutes, and 23.275 seconds.  Enter a string to quit.
