Enter an integer k for which our Kempner sets are k-free: 4
Enter a positive integer modulus b: 56
Enter estimation parameters, or * for pre-computed parameters ([0.101, 1.1069, 1.4417]): *
Enter a threshold (e.g. 4.2) to determine printed output: 3.9
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[56, 3.94302, [0, 1, 2, 4, 5, 7, 8, 13, 15, 16, 17, 20, 21, 26, 27, 46, 47]]
[56, 3.9314, [0, 1, 2, 4, 5, 7, 8, 13, 15, 16, 17, 20, 25, 26, 27, 46, 47]]
[56, 3.95336, [0, 1, 2, 4, 5, 7, 8, 13, 15, 16, 17, 21, 23, 26, 27, 34, 40]]
[56, 3.9688, [0, 1, 2, 4, 5, 7, 8, 13, 15, 16, 18, 20, 21, 25, 26, 27, 47]]
[56, 3.915, [0, 1, 2, 4, 5, 7, 8, 13, 15, 16, 20, 21, 25, 26, 27, 46, 47]]
[56, 3.93486, [0, 1, 2, 4, 5, 7, 8, 13, 15, 17, 18, 20, 21, 26, 27, 44, 47]]
[56, 3.96111, [0, 1, 2, 4, 5, 7, 8, 13, 15, 17, 18, 20, 24, 25, 26, 31, 34]]
[56, 3.92522, [0, 1, 2, 4, 5, 7, 8, 13, 15, 17, 18, 20, 24, 26, 31, 34, 53]]
[56, 3.90936, [0, 1, 2, 4, 5, 7, 8, 13, 15, 17, 18, 21, 26, 27, 34, 40, 44]]
[56, 3.91106, [0, 1, 2, 4, 5, 7, 8, 13, 15, 17, 20, 24, 25, 26, 31, 34, 42]]
[56, 3.91224, [0, 1, 2, 4, 5, 7, 8, 13, 16, 17, 20, 21, 22, 26, 27, 46, 47]]
[56, 3.90799, [0, 1, 2, 4, 5, 7, 8, 14, 15, 17, 18, 19, 23, 26, 34, 44, 53]]
[56, 3.90352, [0, 1, 2, 4, 5, 7, 8, 14, 16, 17, 19, 22, 23, 26, 31, 34, 53]]
[56, 3.90737, [0, 1, 2, 4, 5, 7, 8, 14, 17, 18, 19, 22, 23, 25, 27, 34, 48]]
[56, 3.95117, [0, 1, 2, 4, 5, 7, 9, 12, 14, 15, 16, 20, 22, 25, 27, 46, 47]]
[56, 3.90083, [0, 1, 2, 4, 5, 7, 9, 12, 14, 15, 16, 22, 25, 27, 46, 47, 52]]
[56, 4.00808, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 16, 18, 22, 23, 24, 26, 27]]
[56, 3.91306, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 16, 18, 22, 23, 47, 49, 52]]
[56, 3.9544, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 16, 20, 21, 22, 27, 37, 46]]
[56, 3.99734, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 16, 20, 22, 23, 25, 26, 27]]
[56, 3.94331, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 16, 21, 22, 23, 25, 38, 52]]
[56, 3.93617, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 20, 21, 23, 24, 26, 27, 50]]
[56, 3.90493, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 20, 21, 23, 26, 27, 44, 50]]
[56, 3.90123, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15, 20, 21, 24, 26, 27, 45, 50]]
[56, 3.93595, [0, 1, 2, 4, 5, 7, 11, 12, 13, 16, 18, 22, 23, 24, 26, 27, 49]]
[56, 3.91356, [0, 1, 2, 4, 5, 7, 11, 12, 13, 16, 18, 22, 23, 26, 27, 36, 49]]
[56, 3.9095, [0, 1, 2, 4, 5, 7, 11, 12, 13, 16, 18, 22, 24, 26, 27, 37, 49]]
[56, 3.91355, [0, 1, 2, 4, 5, 7, 11, 12, 13, 18, 20, 21, 22, 26, 27, 36, 37]]
[56, 3.91055, [0, 1, 2, 4, 5, 7, 11, 12, 13, 18, 20, 21, 23, 26, 27, 36, 37]]
[56, 3.9073, [0, 1, 2, 4, 5, 7, 11, 12, 13, 18, 20, 22, 23, 26, 27, 36, 37]]
[56, 3.90375, [0, 1, 2, 4, 5, 7, 11, 12, 13, 18, 21, 22, 23, 26, 27, 36, 37]]
[56, 3.98979, [0, 1, 2, 4, 5, 7, 11, 12, 14, 15, 16, 20, 22, 23, 25, 26, 27]]
[56, 3.92312, [0, 1, 2, 4, 5, 7, 11, 12, 14, 15, 16, 22, 24, 25, 31, 37, 38]]
[56, 3.9041, [0, 1, 2, 4, 5, 7, 11, 13, 14, 15, 20, 22, 23, 25, 26, 34, 47]]
[56, 3.90635, [0, 1, 2, 4, 5, 7, 12, 13, 15, 16, 18, 22, 23, 24, 26, 27, 45]]
[56, 3.90101, [0, 1, 2, 4, 5, 7, 12, 13, 15, 16, 20, 21, 22, 25, 26, 27, 46]]
[56, 3.91447, [0, 1, 2, 4, 5, 8, 9, 10, 17, 19, 20, 22, 23, 24, 27, 34, 35]]

Search completed in 0 hours, 0 minutes, and 22.411 seconds.  Enter a string to quit.
